Time stamp,Value,Events,Comment,User
16/2/2018 11:28,1.74,,,
16/2/2018 10:58,1.75,,,
16/2/2018 10:28,1.69,,,
16/2/2018 09:58,1.76,,,
16/2/2018 09:28,1.69,,,
16/2/2018 08:58,1.69,,,
16/2/2018 08:28,1.72,,,
16/2/2018 07:58,1.72,,,
16/2/2018 07:28,1.68,,,
16/2/2018 06:58,1.66,,,
16/2/2018 06:28,1.7,,,
16/2/2018 05:58,1.67,,,
16/2/2018 05:28,1.68,,,
16/2/2018 04:58,1.64,,,
16/2/2018 04:28,1.65,,,
16/2/2018 03:58,1.68,,,
16/2/2018 03:28,1.64,,,
16/2/2018 02:58,1.69,,,
16/2/2018 02:28,1.65,,,
16/2/2018 01:58,1.72,,,
16/2/2018 01:28,1.66,,,
16/2/2018 00:58,1.69,,,
16/2/2018 00:28,1.67,,,
15/2/2018 23:58,1.58,,,
15/2/2018 23:28,1.7,,,
15/2/2018 22:58,1.68,,,
15/2/2018 22:28,1.66,,,
15/2/2018 21:58,1.72,,,
15/2/2018 21:28,1.73,,,
15/2/2018 20:58,1.75,,,
15/2/2018 20:28,1.75,,,
15/2/2018 19:58,1.7,,,
15/2/2018 19:28,1.73,,,
15/2/2018 18:58,1.74,,,
15/2/2018 18:28,1.75,,,
15/2/2018 17:58,1.76,,,
15/2/2018 17:28,1.72,,,
15/2/2018 16:58,1.8,,,
15/2/2018 16:28,1.69,,,
15/2/2018 15:58,1.78,,,
15/2/2018 15:28,1.76,,,
15/2/2018 14:58,1.79,,,
15/2/2018 14:28,1.7,,,
15/2/2018 13:58,1.78,,,
15/2/2018 13:28,1.82,,,
15/2/2018 12:58,1.72,,,
15/2/2018 12:28,1.74,,,
15/2/2018 11:58,1.68,,,
15/2/2018 11:28,1.79,,,
15/2/2018 10:58,1.73,,,
15/2/2018 10:28,1.81,,,
15/2/2018 09:58,1.72,,,
15/2/2018 09:28,1.76,,,
15/2/2018 08:58,1.69,,,
15/2/2018 08:28,1.65,,,
15/2/2018 07:58,1.7,,,
15/2/2018 07:28,1.66,,,
15/2/2018 06:58,1.68,,,
15/2/2018 06:28,1.66,,,
15/2/2018 05:58,1.74,,,
15/2/2018 05:28,1.68,,,
15/2/2018 04:58,1.73,,,
15/2/2018 04:28,1.68,,,
15/2/2018 03:58,1.72,,,
15/2/2018 03:28,1.68,,,
15/2/2018 02:58,1.72,,,
15/2/2018 02:28,1.76,,,
15/2/2018 01:58,1.74,,,
15/2/2018 01:28,1.68,,,
15/2/2018 00:58,1.7,,,
15/2/2018 00:28,1.75,,,
